id,studentId,jobId,status,createdAt,updatedAt
40083,10659,30102,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40084,10448,30128,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40085,10678,30128,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40086,10688,30128,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40087,10689,30128,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40088,10451,30175,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40089,10609,30175,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40090,10645,30175,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40091,10459,30047,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40092,10284,30047,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40093,10352,30047,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40094,10497,30047,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40095,10519,30047,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40096,10719,30047,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40097,10460,30117,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40098,10470,30089,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40099,10472,30113,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40100,10473,30140,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40101,10003,30103,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40102,10003,30032,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40103,10003,30036,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40104,10004,30139,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40105,10224,30060,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40106,10238,30060,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40107,10271,30060,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40108,10299,30060,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40109,10226,30080,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40110,10229,30152,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40111,10235,30152,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
